,epoch,precision,recall,F1_score,Bleu_4,ROUGE_L,CIDEr,loss,reference,candidate
0,1,0.997903564,0.45681382,0.626728111,0.252298979,4.075349185,0.001585367,9.871479268,Roberto (horse) ( March 16 1969 â€?August 2 1988 ) was an American-bred Irish-trained Thoroughbred Champion racehorse . among his notable offspring were 1988 Eclipse Award turf champion Sunshine Forever Real Shadai the leading sire in Japan in 1993 Brian's Time who sired 1994 Japanese Triple Crown winner and voted Japanese Horse of the Year Narita Brian Australia Melbourne Cup winner At Talaq British Classic winner Touching Wood outstanding sire Kris S. who produced five Breeders' Cup winners leading European miler and successful American turf sire Lear Fan and Dynaformer who sired 2006 Kentucky Derby winner Barbaro .,( ( foaled ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was ( foaled was (
1,2,0.985465116,0.650671785,0.783815029,1.302979202,15.6855611,0.0641758,4.944221245,Roberto (horse) ( March 16 1969 â€?August 2 1988 ) was an American-bred Irish-trained Thoroughbred Champion racehorse . among his notable offspring were 1988 Eclipse Award turf champion Sunshine Forever Real Shadai the leading sire in Japan in 1993 Brian's Time who sired 1994 Japanese Triple Crown winner and voted Japanese Horse of the Year Narita Brian Australia Melbourne Cup winner At Talaq British Classic winner Touching Wood outstanding sire Kris S. who produced five Breeders' Cup winners leading European miler and successful American turf sire Lear Fan and Dynaformer who sired 2006 Kentucky Derby winner Barbaro .,Lear Fan Kris S. Kris S. Lear Fan Kris S. Lear Fan Lear Fan Lear Fan Kris S. Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Thoroughbred Thoroughbred Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Kris S. Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Kris S. Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Kris S. Thoroughbred racehorse Thoroughbred racehorse Brian's Time Thoroughbred racehorse Thoroughbred racehorse Brian's Time Thoroughbred racehorse Brian's Time Thoroughbred racehorse Thoroughbred racehorse Brian's Time Thoroughbred racehorse Brian's Time Thoroughbred racehorse Thoroughbred racehorse Brian's Time Thoroughbred racehorse
2,3,0.986935867,0.797504798,0.882165605,3.81021436,24.31955254,0.197801994,3.911870499,Roberto (horse) ( March 16 1969 â€?August 2 1988 ) was an American-bred Irish-trained Thoroughbred Champion racehorse . among his notable offspring were 1988 Eclipse Award turf champion Sunshine Forever Real Shadai the leading sire in Japan in 1993 Brian's Time who sired 1994 Japanese Triple Crown winner and voted Japanese Horse of the Year Narita Brian Australia Melbourne Cup winner At Talaq British Classic winner Touching Wood outstanding sire Kris S. who produced five Breeders' Cup winners leading European miler and successful American turf sire Lear Fan and Dynaformer who sired 2006 Kentucky Derby winner Barbaro .,Roberto (horse) ( 1969 ( foaled Kris S. Thoroughbred racehorse and sire .
3,4,0.987268519,0.818618042,0.895068206,4.527109173,30.34795437,0.277500749,3.294313099,Roberto (horse) ( March 16 1969 â€?August 2 1988 ) was an American-bred Irish-trained Thoroughbred Champion racehorse . among his notable offspring were 1988 Eclipse Award turf champion Sunshine Forever Real Shadai the leading sire in Japan in 1993 Brian's Time who sired 1994 Japanese Triple Crown winner and voted Japanese Horse of the Year Narita Brian Australia Melbourne Cup winner At Talaq British Classic winner Touching Wood outstanding sire Kris S. who produced five Breeders' Cup winners leading European miler and successful American turf sire Lear Fan and Dynaformer who sired 2006 Kentucky Derby winner Barbaro .,Roberto (horse) ( 1969 â€?) was an American Thoroughbred racehorse and sire .
4,5,0.986873508,0.793666027,0.879787234,8.860603588,33.24680416,0.315005302,2.861577568,Roberto (horse) ( March 16 1969 â€?August 2 1988 ) was an American-bred Irish-trained Thoroughbred Champion racehorse . among his notable offspring were 1988 Eclipse Award turf champion Sunshine Forever Real Shadai the leading sire in Japan in 1993 Brian's Time who sired 1994 Japanese Triple Crown winner and voted Japanese Horse of the Year Narita Brian Australia Melbourne Cup winner At Talaq British Classic winner Touching Wood outstanding sire Kris S. who produced five Breeders' Cup winners leading European miler and successful American turf sire Lear Fan and Dynaformer who sired 2006 Kentucky Derby winner Barbaro .,Roberto (horse) ( 1969 â€?) was an American-bred Thoroughbred racehorse and sire .
5,6,0.987179487,0.812859885,0.891578947,6.037211632,34.41430258,0.327980634,2.534230714,Roberto (horse) ( March 16 1969 â€?August 2 1988 ) was an American-bred Irish-trained Thoroughbred Champion racehorse . among his notable offspring were 1988 Eclipse Award turf champion Sunshine Forever Real Shadai the leading sire in Japan in 1993 Brian's Time who sired 1994 Japanese Triple Crown winner and voted Japanese Horse of the Year Narita Brian Australia Melbourne Cup winner At Talaq British Classic winner Touching Wood outstanding sire Kris S. who produced five Breeders' Cup winners leading European miler and successful American turf sire Lear Fan and Dynaformer who sired 2006 Kentucky Derby winner Barbaro .,Roberto (horse) ( 1969 â€?) was a British Thoroughbred racehorse and sire .
6,7,0.987283237,0.819577735,0.895647614,6.601604797,34.93882005,0.340971467,2.262171048,Roberto (horse) ( March 16 1969 â€?August 2 1988 ) was an American-bred Irish-trained Thoroughbred Champion racehorse . among his notable offspring were 1988 Eclipse Award turf champion Sunshine Forever Real Shadai the leading sire in Japan in 1993 Brian's Time who sired 1994 Japanese Triple Crown winner and voted Japanese Horse of the Year Narita Brian Australia Melbourne Cup winner At Talaq British Classic winner Touching Wood outstanding sire Kris S. who produced five Breeders' Cup winners leading European miler and successful American turf sire Lear Fan and Dynaformer who sired 2006 Kentucky Derby winner Barbaro .,Roberto (horse) ( 1969 â€?) was an American-bred Thoroughbred racehorse and sire .
7,8,0.98758465,0.839731286,0.907676349,5.046483529,37.20910268,0.419527394,2.034360919,Roberto (horse) ( March 16 1969 â€?August 2 1988 ) was an American-bred Irish-trained Thoroughbred Champion racehorse . among his notable offspring were 1988 Eclipse Award turf champion Sunshine Forever Real Shadai the leading sire in Japan in 1993 Brian's Time who sired 1994 Japanese Triple Crown winner and voted Japanese Horse of the Year Narita Brian Australia Melbourne Cup winner At Talaq British Classic winner Touching Wood outstanding sire Kris S. who produced five Breeders' Cup winners leading European miler and successful American turf sire Lear Fan and Dynaformer who sired 2006 Kentucky Derby winner Barbaro .,Roberto (horse) ( 1969 â€?) was an American-bred Thoroughbred racehorse and sire .
8,9,0.9875,0.833973129,0.904266389,6.327708787,39.33216271,0.531180305,1.835233395,Roberto (horse) ( March 16 1969 â€?August 2 1988 ) was an American-bred Irish-trained Thoroughbred Champion racehorse . among his notable offspring were 1988 Eclipse Award turf champion Sunshine Forever Real Shadai the leading sire in Japan in 1993 Brian's Time who sired 1994 Japanese Triple Crown winner and voted Japanese Horse of the Year Narita Brian Australia Melbourne Cup winner At Talaq British Classic winner Touching Wood outstanding sire Kris S. who produced five Breeders' Cup winners leading European miler and successful American turf sire Lear Fan and Dynaformer who sired 2006 Kentucky Derby winner Barbaro .,Roberto (horse) ( 1969 â€?) was an American-bred Thoroughbred racehorse and sire .
9,10,0.987736901,0.850287908,0.91387313,7.470236514,40.05684941,0.597439768,1.659886715,Roberto (horse) ( March 16 1969 â€?August 2 1988 ) was an American-bred Irish-trained Thoroughbred Champion racehorse . among his notable offspring were 1988 Eclipse Award turf champion Sunshine Forever Real Shadai the leading sire in Japan in 1993 Brian's Time who sired 1994 Japanese Triple Crown winner and voted Japanese Horse of the Year Narita Brian Australia Melbourne Cup winner At Talaq British Classic winner Touching Wood outstanding sire Kris S. who produced five Breeders' Cup winners leading European miler and successful American turf sire Lear Fan and Dynaformer who sired 2006 Kentucky Derby winner Barbaro .,Roberto (horse) ( 1969 â€?) was an American-bred Thoroughbred racehorse and sire .
