,epoch,precision,recall,F1_score,Bleu_4,ROUGE_L,CIDEr,loss,reference,candidate
0,1,0.997890295,0.453934741,0.624010554,0.194533947,4.014334049,0.001590697,10.04121095,Roberto (horse) ( March 16 1969 â€?August 2 1988 ) was an American-bred Irish-trained Thoroughbred Champion racehorse . among his notable offspring were 1988 Eclipse Award turf champion Sunshine Forever Real Shadai the leading sire in Japan in 1993 Brian's Time who sired 1994 Japanese Triple Crown winner and voted Japanese Horse of the Year Narita Brian Australia Melbourne Cup winner At Talaq British Classic winner Touching Wood outstanding sire Kris S. who produced five Breeders' Cup winners leading European miler and successful American turf sire Lear Fan and Dynaformer who sired 2006 Kentucky Derby winner Barbaro .,Kris S. Kris S. Kris S. Kris S. Kris S. Kris S. Kris S. Kris S. Kris S. Kris S. Kris S. Kris S. Kris S. Kris S. Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time Brian's Time
1,2,0.985549133,0.654510557,0.786620531,1.340941178,15.6063418,0.05252609,5.042893422,Roberto (horse) ( March 16 1969 â€?August 2 1988 ) was an American-bred Irish-trained Thoroughbred Champion racehorse . among his notable offspring were 1988 Eclipse Award turf champion Sunshine Forever Real Shadai the leading sire in Japan in 1993 Brian's Time who sired 1994 Japanese Triple Crown winner and voted Japanese Horse of the Year Narita Brian Australia Melbourne Cup winner At Talaq British Classic winner Touching Wood outstanding sire Kris S. who produced five Breeders' Cup winners leading European miler and successful American turf sire Lear Fan and Dynaformer who sired 2006 Kentucky Derby winner Barbaro .,Lear Fan Kris S. Kris S. Kris S. Lear Fan Kris S. Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Lear Fan Thoroughbred Thoroughbred Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse Thoroughbred racehorse racehorse Thoroughbred racehorse Thoroughbred racehorse racehorse Thoroughbred racehorse Thoroughbred racehorse racehorse Thoroughbred racehorse Thoroughbred racehorse racehorse Thoroughbred racehorse Thoroughbred racehorse racehorse Brian's Time Thoroughbred racehorse racehorse Thoroughbred racehorse racehorse Brian's Time Thoroughbred racehorse racehorse Thoroughbred racehorse racehorse Thoroughbred racehorse racehorse Brian's Time Thoroughbred racehorse racehorse Thoroughbred racehorse
2,3,0.986369269,0.763915547,0.861005949,3.958131189,23.61636867,0.152409059,4.025051477,Roberto (horse) ( March 16 1969 â€?August 2 1988 ) was an American-bred Irish-trained Thoroughbred Champion racehorse . among his notable offspring were 1988 Eclipse Award turf champion Sunshine Forever Real Shadai the leading sire in Japan in 1993 Brian's Time who sired 1994 Japanese Triple Crown winner and voted Japanese Horse of the Year Narita Brian Australia Melbourne Cup winner At Talaq British Classic winner Touching Wood outstanding sire Kris S. who produced five Breeders' Cup winners leading European miler and successful American turf sire Lear Fan and Dynaformer who sired 2006 Kentucky Derby winner Barbaro .,Roberto (horse) ( 1969 ( foaled Kris S. ) was was was was was and sire .
3,4,0.987283237,0.819577735,0.895647614,4.825602183,31.34581445,0.282110731,3.393782558,Roberto (horse) ( March 16 1969 â€?August 2 1988 ) was an American-bred Irish-trained Thoroughbred Champion racehorse . among his notable offspring were 1988 Eclipse Award turf champion Sunshine Forever Real Shadai the leading sire in Japan in 1993 Brian's Time who sired 1994 Japanese Triple Crown winner and voted Japanese Horse of the Year Narita Brian Australia Melbourne Cup winner At Talaq British Classic winner Touching Wood outstanding sire Kris S. who produced five Breeders' Cup winners leading European miler and successful American turf sire Lear Fan and Dynaformer who sired 2006 Kentucky Derby winner Barbaro .,Roberto (horse) ( 1969 â€?) was an American Thoroughbred racehorse and sire .
4,5,0.986810552,0.789827255,0.877398721,9.028638938,33.40562939,0.312262227,2.963580669,Roberto (horse) ( March 16 1969 â€?August 2 1988 ) was an American-bred Irish-trained Thoroughbred Champion racehorse . among his notable offspring were 1988 Eclipse Award turf champion Sunshine Forever Real Shadai the leading sire in Japan in 1993 Brian's Time who sired 1994 Japanese Triple Crown winner and voted Japanese Horse of the Year Narita Brian Australia Melbourne Cup winner At Talaq British Classic winner Touching Wood outstanding sire Kris S. who produced five Breeders' Cup winners leading European miler and successful American turf sire Lear Fan and Dynaformer who sired 2006 Kentucky Derby winner Barbaro .,Roberto (horse) ( 1969 â€?) was an American-bred Thoroughbred racehorse and sire .
5,6,0.987028302,0.803262956,0.885714286,5.787530652,34.52312267,0.317958513,2.635458677,Roberto (horse) ( March 16 1969 â€?August 2 1988 ) was an American-bred Irish-trained Thoroughbred Champion racehorse . among his notable offspring were 1988 Eclipse Award turf champion Sunshine Forever Real Shadai the leading sire in Japan in 1993 Brian's Time who sired 1994 Japanese Triple Crown winner and voted Japanese Horse of the Year Narita Brian Australia Melbourne Cup winner At Talaq British Classic winner Touching Wood outstanding sire Kris S. who produced five Breeders' Cup winners leading European miler and successful American turf sire Lear Fan and Dynaformer who sired 2006 Kentucky Derby winner Barbaro .,Roberto (horse) ( 1969 â€?) was an American-bred Thoroughbred racehorse and sire .
6,7,0.987194412,0.813819578,0.89216202,4.720362975,37.72185299,0.425814892,2.359126074,Roberto (horse) ( March 16 1969 â€?August 2 1988 ) was an American-bred Irish-trained Thoroughbred Champion racehorse . among his notable offspring were 1988 Eclipse Award turf champion Sunshine Forever Real Shadai the leading sire in Japan in 1993 Brian's Time who sired 1994 Japanese Triple Crown winner and voted Japanese Horse of the Year Narita Brian Australia Melbourne Cup winner At Talaq British Classic winner Touching Wood outstanding sire Kris S. who produced five Breeders' Cup winners leading European miler and successful American turf sire Lear Fan and Dynaformer who sired 2006 Kentucky Derby winner Barbaro .,Roberto (horse) ( 1969 â€?) was an American-bred Thoroughbred racehorse and sire .
7,8,0.987283237,0.819577735,0.895647614,5.227357047,38.17005987,0.435125013,2.130833008,Roberto (horse) ( March 16 1969 â€?August 2 1988 ) was an American-bred Irish-trained Thoroughbred Champion racehorse . among his notable offspring were 1988 Eclipse Award turf champion Sunshine Forever Real Shadai the leading sire in Japan in 1993 Brian's Time who sired 1994 Japanese Triple Crown winner and voted Japanese Horse of the Year Narita Brian Australia Melbourne Cup winner At Talaq British Classic winner Touching Wood outstanding sire Kris S. who produced five Breeders' Cup winners leading European miler and successful American turf sire Lear Fan and Dynaformer who sired 2006 Kentucky Derby winner Barbaro .,Roberto (horse) ( 1969 â€?) was an American-bred Thoroughbred racehorse and sire .
8,9,0.987598647,0.840690979,0.908242613,6.016658137,39.50689854,0.534582696,1.933017581,Roberto (horse) ( March 16 1969 â€?August 2 1988 ) was an American-bred Irish-trained Thoroughbred Champion racehorse . among his notable offspring were 1988 Eclipse Award turf champion Sunshine Forever Real Shadai the leading sire in Japan in 1993 Brian's Time who sired 1994 Japanese Triple Crown winner and voted Japanese Horse of the Year Narita Brian Australia Melbourne Cup winner At Talaq British Classic winner Touching Wood outstanding sire Kris S. who produced five Breeders' Cup winners leading European miler and successful American turf sire Lear Fan and Dynaformer who sired 2006 Kentucky Derby winner Barbaro .,Roberto (horse) ( 1969 â€?) was an American-bred Thoroughbred racehorse and sire .
9,10,0.987327189,0.822456814,0.897382199,6.928751055,40.55813373,0.584482878,1.759759403,Roberto (horse) ( March 16 1969 â€?August 2 1988 ) was an American-bred Irish-trained Thoroughbred Champion racehorse . among his notable offspring were 1988 Eclipse Award turf champion Sunshine Forever Real Shadai the leading sire in Japan in 1993 Brian's Time who sired 1994 Japanese Triple Crown winner and voted Japanese Horse of the Year Narita Brian Australia Melbourne Cup winner At Talaq British Classic winner Touching Wood outstanding sire Kris S. who produced five Breeders' Cup winners leading European miler and successful American turf sire Lear Fan and Dynaformer who sired 2006 Kentucky Derby winner Barbaro .,Roberto (horse) ( 1969 â€?) was an American-bred Thoroughbred racehorse and sire .
